t,subject_id,elicitation,age,gender,date,reaction_time,choice,choice_maximizing_utility,probabilities,rewards,outcome,cf_outcome,key_pressed,cond,session
0,54,1,,male,2020-02-18_18:42,0.9488167031668127,2,0,"[[0.4 0.6]
 [0.6 0.4]]","[[-1  1]
 [-1  1]]",1,1,left,2,1
1,54,1,,male,2020-02-18_18:42,0.7832219670526683,2,0,"[[0.2 0.8]
 [0.8 0.2]]","[[-1  1]
 [-1  1]]",-1,-1,left,0,1
2,54,1,,male,2020-02-18_18:42,0.6006234488449991,2,0,"[[0.3 0.7]
 [0.7 0.3]]","[[-1  1]
 [-1  1]]",1,1,left,1,1
3,54,1,,male,2020-02-18_18:42,1.681099255103618,1,1,"[[0.1 0.9]
 [0.9 0.1]]","[[-1  1]
 [-1  1]]",1,-1,left,3,1
4,54,1,,male,2020-02-18_18:42,0.5016657006926835,1,1,"[[0.1 0.9]
 [0.9 0.1]]","[[-1  1]
 [-1  1]]",1,-1,left,3,1
5,54,1,,male,2020-02-18_18:42,0.4185350527986884,1,1,"[[0.4 0.6]
 [0.6 0.4]]","[[-1  1]
 [-1  1]]",1,-1,left,2,1
6,54,1,,male,2020-02-18_18:42,0.5868227500468493,2,0,"[[0.3 0.7]
 [0.7 0.3]]","[[-1  1]
 [-1  1]]",1,1,left,1,1
7,54,1,,male,2020-02-18_18:42,0.5560087459161878,2,0,"[[0.2 0.8]
 [0.8 0.2]]","[[-1  1]
 [-1  1]]",-1,1,left,0,1
8,54,1,,male,2020-02-18_18:42,10.623045993968844,1,1,"[[0.1 0.9]
 [0.9 0.1]]","[[-1  1]
 [-1  1]]",1,-1,left,3,1
9,54,1,,male,2020-02-18_18:42,1.1432182849384844,2,0,"[[0.3 0.7]
 [0.7 0.3]]","[[-1  1]
 [-1  1]]",-1,1,right,1,1
10,54,1,,male,2020-02-18_18:42,0.3047011401504278,1,1,"[[0.4 0.6]
 [0.6 0.4]]","[[-1  1]
 [-1  1]]",1,-1,left,2,1
11,54,1,,male,2020-02-18_18:42,1.6759798489511013,1,1,"[[0.2 0.8]
 [0.8 0.2]]","[[-1  1]
 [-1  1]]",1,-1,left,0,1
12,54,1,,male,2020-02-18_18:42,0.6810469957999885,2,0,"[[0.3 0.7]
 [0.7 0.3]]","[[-1  1]
 [-1  1]]",-1,1,left,1,1
13,54,1,,male,2020-02-18_18:42,0.590385973919183,1,1,"[[0.2 0.8]
 [0.8 0.2]]","[[-1  1]
 [-1  1]]",1,-1,right,0,1
14,54,1,,male,2020-02-18_18:42,0.7199154612608254,1,1,"[[0.4 0.6]
 [0.6 0.4]]","[[-1  1]
 [-1  1]]",1,-1,left,2,1
15,54,1,,male,2020-02-18_18:42,3.2358848499134183,2,0,"[[0.1 0.9]
 [0.9 0.1]]","[[-1  1]
 [-1  1]]",-1,1,left,3,1
16,54,1,,male,2020-02-18_18:42,1.6810771604068577,1,1,"[[0.3 0.7]
 [0.7 0.3]]","[[-1  1]
 [-1  1]]",1,1,left,1,1
17,54,1,,male,2020-02-18_18:42,0.7420081002637744,1,1,"[[0.4 0.6]
 [0.6 0.4]]","[[-1  1]
 [-1  1]]",-1,-1,left,2,1
