t,subject_id,elicitation,age,gender,date,debug,reaction_time,choice,choice_maximizing_utility,probabilities,rewards,outcome,cf_outcome,key_pressed,cond,session
0,59,1,,male,2020-02-18_19:01,1,1.7555203498341143,1,1,"[[0.2 0.8]
 [0.8 0.2]]","[[-1  1]
 [-1  1]]",-1,1,left,0,1
1,59,1,,male,2020-02-18_19:01,1,10.800968209747225,2,0,"[[0.1 0.9]
 [0.9 0.1]]","[[-1  1]
 [-1  1]]",-1,1,left,3,1
2,59,1,,male,2020-02-18_19:01,1,21.973732577636838,1,1,"[[0.4 0.6]
 [0.6 0.4]]","[[-1  1]
 [-1  1]]",1,-1,left,2,1
3,59,1,,male,2020-02-18_19:01,1,3.9206108707003295,1,1,"[[0.3 0.7]
 [0.7 0.3]]","[[-1  1]
 [-1  1]]",-1,-1,left,1,1
4,59,1,,male,2020-02-18_19:01,1,13.237741546705365,2,0,"[[0.3 0.7]
 [0.7 0.3]]","[[-1  1]
 [-1  1]]",-1,1,left,1,1
5,59,1,,male,2020-02-18_19:01,1,18.328875712119043,1,1,"[[0.2 0.8]
 [0.8 0.2]]","[[-1  1]
 [-1  1]]",1,-1,left,0,1
6,59,1,,male,2020-02-18_19:01,1,16.84182539721951,1,1,"[[0.1 0.9]
 [0.9 0.1]]","[[-1  1]
 [-1  1]]",1,-1,left,3,1
7,59,1,,male,2020-02-18_19:01,1,18.518735146149993,1,1,"[[0.4 0.6]
 [0.6 0.4]]","[[-1  1]
 [-1  1]]",1,1,left,2,1
8,59,1,,male,2020-02-18_19:01,1,1.0263968287035823,2,0,"[[0.4 0.6]
 [0.6 0.4]]","[[-1  1]
 [-1  1]]",-1,-1,left,2,1
9,59,1,,male,2020-02-18_19:01,1,15.853804897982627,2,0,"[[0.2 0.8]
 [0.8 0.2]]","[[-1  1]
 [-1  1]]",-1,1,left,0,1
